code	date	gender	0_to_4	10_to_14	15_to_19	20_to_24	25_to_29	30_to_34	35_to_39	40_to_44	45_to_49	50_to_54	55_to_59	5_to_9	60_to_64	65_to_69	70_to_74	75_to_79	80_to_84	85_to_89	90+
E12000003	2020-01-30	maleCases	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E92000001	2020-01-30	maleCases	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	2020-01-31	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
E92000001	2020-01-31	maleCases	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
E12000007	2020-02-01	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
E92000001	2020-02-01	maleCases	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
E12000008	2020-02-05	maleCases	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
E92000001	2020-02-05	maleCases	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
E12000008	2020-02-08	maleCases	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-08	maleCases	0	0	0	1	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000008	2020-02-09	maleCases	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-09	maleCases	0	0	0	1	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000007	2020-02-11	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
E92000001	2020-02-11	maleCases	0	0	0	1	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000004	2020-02-21	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E92000001	2020-02-21	maleCases	0	0	0	1	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000008	2020-02-23	maleCases	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-23	maleCases	0	0	0	1	1	0	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000007	2020-02-24	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
E12000008	2020-02-24	maleCases	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-24	maleCases	0	0	0	1	1	1	0	0	0	4	1	0	1	1	0	0	0	0	0
E12000004	2020-02-25	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	2020-02-25	maleCases	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
E12000008	2020-02-25	maleCases	0	0	0	0	1	1	0	0	1	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-25	maleCases	0	0	0	1	1	1	0	0	1	5	1	0	1	1	0	0	0	0	0
E12000006	2020-02-26	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	2020-02-26	maleCases	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
E12000009	2020-02-26	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E92000001	2020-02-26	maleCases	0	0	0	1	1	1	0	1	1	5	1	0	1	1	0	0	0	0	0
E12000003	2020-02-27	maleCases	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000006	2020-02-27	maleCases	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
E12000007	2020-02-27	maleCases	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
E12000008	2020-02-27	maleCases	0	0	0	0	1	1	0	0	1	4	1	0	0	0	0	0	0	0	0
E12000009	2020-02-27	maleCases	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E92000001	2020-02-27	maleCases	0	0	0	1	1	1	0	1	2	5	2	0	1	1	0	0	0	0	0
E12000002	2020-02-28	maleCases	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E12000003	2020-02-28	maleCases	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
E12000004	2020-02-28	maleCases	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E12000006	2020-02-28	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
E12000007	2020-02-28	maleCases	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
E12000008	2020-02-28	maleCases	0	0	0	0	1	1	0	0	2	4	1	0	0	0	0	0	0	0	0
E92000001	2020-02-28	maleCases	0	0	0	1	1	1	3	3	3	5	3	0	1	1	0	0	0	0	0
E12000004	2020-02-29	maleCases	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	2020-02-29	maleCases	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
E12000008	2020-02-29	maleCases	0	0	0	0	1	1	0	0	2	4	1	0	0	0	0	0	1	0	0
E92000001	2020-02-29	maleCases	0	1	0	2	1	2	3	3	3	5	3	0	1	1	0	0	1	0	0
E12000002	2020-03-01	maleCases	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
E12000003	2020-03-01	maleCases	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
E12000004	2020-03-01	maleCases	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
E12000005	2020-03-01	maleCases	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
E12000006	2020-03-01	maleCases	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
E12000007	2020-03-01	maleCases	0	1	0	0	0	0	1	1	0	2	2	0	1	1	0	0	0	0	0
E12000009	2020-03-01	maleCases	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
E92000001	2020-03-01	maleCases	0	1	0	3	2	2	4	4	4	7	4	0	3	1	1	1	1	0	0
E12000001	2020-03-02	maleCases	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-02	maleCases	0	0	0	1	1	0	0	1	0	3	2	0	1	1	1	0	0	0	0
E12000003	2020-03-02	maleCases	0	0	0	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0
E12000004	2020-03-02	maleCases	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
E12000005	2020-03-02	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
E12000007	2020-03-02	maleCases	0	1	0	1	0	2	2	1	3	2	2	0	1	1	1	0	0	0	0
E12000008	2020-03-02	maleCases	0	0	0	1	1	1	0	0	2	4	1	0	0	0	0	0	1	0	0
E12000009	2020-03-02	maleCases	0	0	0	0	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0
E92000001	2020-03-02	maleCases	0	1	0	5	2	5	6	5	12	12	7	0	4	2	2	1	1	0	0
E12000002	2020-03-03	maleCases	0	0	0	1	1	0	1	2	0	3	3	0	1	1	1	0	0	0	0
E12000003	2020-03-03	maleCases	0	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1
E12000004	2020-03-03	maleCases	0	0	0	0	0	1	2	1	1	0	2	0	1	1	0	0	0	0	0
E12000005	2020-03-03	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
E12000006	2020-03-03	maleCases	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0
E12000007	2020-03-03	maleCases	0	1	0	1	1	2	2	2	4	3	2	0	1	1	2	0	0	0	0
E12000008	2020-03-03	maleCases	0	0	1	1	1	2	0	0	4	4	1	0	2	0	0	0	2	0	0
E12000009	2020-03-03	maleCases	0	0	0	1	0	0	0	1	4	2	4	0	1	1	0	0	0	0	0
E92000001	2020-03-03	maleCases	0	1	1	7	4	7	8	8	18	13	14	0	7	4	3	1	3	0	1
E12000001	2020-03-04	maleCases	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-04	maleCases	0	0	0	1	1	0	1	3	0	3	3	0	1	1	1	0	0	0	0
E12000003	2020-03-04	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	0	0	0	1
E12000004	2020-03-04	maleCases	0	0	0	0	0	1	2	1	1	0	2	0	2	1	0	0	0	0	0
E12000005	2020-03-04	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
E12000006	2020-03-04	maleCases	0	1	0	1	0	0	1	0	4	1	1	0	0	2	1	0	1	0	0
E12000007	2020-03-04	maleCases	0	1	0	2	1	4	3	3	4	4	3	0	1	2	2	1	0	0	0
E12000008	2020-03-04	maleCases	0	0	1	2	1	2	0	0	5	5	1	0	2	0	0	0	2	0	0
E12000009	2020-03-04	maleCases	0	0	0	1	2	0	1	1	5	3	4	0	1	1	0	0	0	0	0
E92000001	2020-03-04	maleCases	0	2	1	10	6	9	10	10	20	18	15	0	8	7	4	2	4	0	1
E12000001	2020-03-05	maleCases	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-05	maleCases	0	0	0	2	1	0	2	4	1	3	5	0	1	1	1	0	0	0	0
E12000003	2020-03-05	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	0	0	0	1
E12000004	2020-03-05	maleCases	0	0	0	0	0	2	2	1	1	0	2	0	2	1	0	0	0	0	0
E12000005	2020-03-05	maleCases	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	1	1	0	0
E12000006	2020-03-05	maleCases	0	1	0	1	0	0	1	0	4	1	1	0	0	2	1	0	1	0	0
E12000007	2020-03-05	maleCases	0	1	0	2	2	5	7	4	4	4	3	0	1	2	2	2	0	0	0
